Qin,Qsolar,tin,tout
200,208.1256341,31.93143043,16.55
200,161.0695617,31.44502188,16.325
200,114.4276475,30.93744397,16.1
200,68.49288455,30.43150792,16.05
200,0,29.92307882,16
200,0,29.41787815,15.95
200,0,28.93100048,15.9
200,0,28.46495283,15.875
200,0,28.01814887,15.85
200,0,27.58925004,15.825
200,0,27.17729127,15.8
200,0,26.78080627,15.75
200,0,26.39935882,15.7
200,0,26.03291595,15.65
200,0,25.68079536,15.6
200,0,25.34136091,15.55
200,0,25.01325181,15.5
200,0,24.69540567,15.45
200,0,24.38686253,15.4
200,0,24.08653187,15.35
200,0,23.79337215,15.3
200,0,23.50307331,15.25
200,0,23.22156926,15.2
200,0,22.95051761,15.15
200,0,22.68767014,15.1
200,0,22.43074338,15.05
200,0,22.17871725,15
200,0,21.93529899,15
200,0,21.70185975,15
200,0,21.47799727,15
200,0,21.26341813,15
200,0,21.05775527,15
200,0,20.8608445,15
200,0,20.67247891,15
200,0,20.49234516,15
200,0,20.32069765,15
200,0,20.15733852,15
200,0,20.00159162,15
200,0,19.8531162,15
200,0,19.71455902,15.05
200,0,19.58603831,15.1
200,0,19.46611911,15.15
200,0,19.35321848,15.2
200,73.89470824,19.25979949,15.25
200,102.4676989,19.19037361,15.3
200,170.3373697,19.14880607,15.35
200,235.8825331,19.13755977,15.4
200,302.2717327,19.16391466,15.45
200,379.5448737,19.23354021,15.5
200,418.13631,19.33975336,15.55
200,465.5855966,19.47080253,15.6
200,511.1441918,19.62132905,15.7
200,554.0948119,19.78733464,15.8
200,666.3826097,19.97983726,15.9
200,769.5055066,20.21202167,16
200,874.2465737,20.48871042,16.075
200,995.0224119,20.69178163,16.15
200,1001.059516,21.1284441,16.225
200,1001.961341,21.48749217,16.3
200,998.9242203,21.8106749,16.4
200,992.5592016,22.12040612,16.5
200,1144.363875,22.44717402,16.6
200,1333.737842,22.8359171,16.7
200,1507.537228,23.30254947,16.875
200,1689.565582,23.84241945,17.05
200,1887.306132,24.26564679,17.225
200,2088.157114,25.10436226,17.4
200,2322.887493,25.90052262,17.6
200,2540.839716,26.75212993,17.8
200,2442.508527,27.59984179,18
200,2324.890672,28.36369761,18.2
200,2189.744049,29.0395359,18.375
200,2038.894102,29.38283225,18.55
200,2151.379965,29.94464175,18.725
200,2224.835585,30.77933301,18.9
200,2297.926543,31.42006417,19
200,2347.26425,32.05763195,19.1
200,2218.748583,32.42505419,19.2
200,2072.810971,33.15144491,19.3
200,1911.928312,33.59446362,19.375
200,1739.49619,33.90670093,19.45
200,1552.066175,34.13561184,19.525
200,1367.231818,34.28310621,19.6
200,1190.005652,34.33900474,19.7
200,1049.440652,34.31790597,19.8
200,928.6270659,34.24084292,19.9
200,850.6080345,34.1286084,20
200,789.9316955,33.96944059,19.625
200,759.3197307,33.7767057,19.25
200,708.2791078,33.56147757,18.875
200,657.6600471,33.32424875,18.5
200,607.6119246,33.06298175,18.15
200,558.2544017,32.7765805,17.8
200,459.7988364,32.55631709,17.45
200,391.5126928,32.10517133,17.1
200,326.6502106,31.69840971,16.725
200,264.4848186,31.27039327,16.35
200,203.4809972,30.80822095,15.975
200,138.1898786,30.30900339,15.6
200,85.72799605,29.80193583,15.5
200,0,29.28833778,15.4
200,0,28.76800189,15.3
200,0,28.261933,15.2
200,0,27.77574918,15.1
200,0,27.30807317,15
200,0,26.85784581,14.9
200,0,26.42403935,14.8
200,0,26.00712392,14.7
200,0,25.6068998,14.6
200,0,25.22236508,14.5
200,0,24.85292259,14.4
200,0,24.49503718,14.3
200,0,24.14691827,14.2
200,0,23.80900801,14.1
200,0,23.48079046,14
200,0,23.16327753,13.925
200,0,22.85630672,13.85
200,0,22.55840208,13.775
200,0,22.26508849,13.7
200,0,21.98106182,13.6
200,0,21.70705598,13.5
200,0,21.4412813,13.4
200,0,21.18169771,13.3
200,0,20.93158468,13.25
200,0,20.69136374,13.2
200,0,20.45956622,13.15
200,0,20.23493392,13.1
200,0,20.01867043,13.075
200,0,19.81087189,13.05
200,0,19.61078858,13.025
200,0,19.4176998,13
200,0,19.22936379,12.95
200,0,19.04523622,12.9
200,0,18.86571073,12.85
200,0,18.69106479,12.8
200,0,18.52091404,12.75
200,0,18.35500794,12.7
200,0,18.1933366,12.65
200,0,18.03593195,12.6
200,50.45306414,17.89181386,12.55
200,68.08714448,17.7638918,12.5
200,97.58639905,17.65180534,12.45
200,133.8207746,17.55626351,12.4
200,164.9967665,17.47717841,12.35
200,196.0392741,17.41370187,12.3
200,280.3696435,17.37462573,12.25
200,367.8965313,17.369775,12.2
200,454.0937412,17.41206299,12.3
200,539.1758968,17.50104498,12.4
200,651.8036835,17.63603031,12.5
200,762.8638006,17.81726459,12.6
200,872.5106079,18.04271827,12.675
200,991.7666718,18.31315951,12.75
200,975.2061688,18.60022575,12.825
200,952.9661899,18.87311117,12.9
200,926.6001328,19.12038569,13
200,897.1252495,19.34249627,13.1
200,994.7213245,19.56970244,13.2
200,1092.799597,19.82935289,13.3
200,1191.241044,20.03344972,13.575
200,1289.913891,20.47705958,13.85
200,1490.763868,20.91289705,14.125
200,1685.192381,21.41233729,14.4
200,1914.46047,21.99855332,14.7
200,2115.226237,22.45649266,15
200,2071.580792,23.28859656,15.3
200,2020.815153,23.9412878,15.6
200,1963.965089,24.26421068,15.875
200,1902.083415,25.01444537,16.15
200,1901.882137,25.34641394,16.425
200,1892.134605,25.73885431,16.7
200,1885.583455,26.45279229,16.65
200,1850.00395,26.91688979,16.6
200,1834.319821,27.29370932,16.55
200,1804.953284,27.66203515,16.5
200,1793.156155,28.00874697,16.45
200,1770.902145,28.33162521,16.4
200,1669.395403,28.61540738,16.35
200,1545.612286,28.8445363,16.3
200,1415.310275,29.00129088,16.25
200,1288.036483,29.09062766,16.2
200,1182.571803,29.12757858,16.15
200,1091.146405,29.1242247,16.1
200,1004.809976,29.07975524,15.95
200,949.234968,29.00281805,15.8
200,862.8304567,28.89380007,15.65
200,774.1902908,28.74939599,15.5
200,683.3958348,28.57019787,15.375
200,590.5003415,28.35696023,15.25
200,504.0443488,28.11175986,15.125
200,417.3073208,27.8361847,15
200,331.267606,27.63266148,14.85
200,244.0799201,27.20858287,14.7
200,187.9162251,26.835359,14.55
200,126.776687,26.45693862,14.4
200,74.05623315,26.06198288,14.3
200,0,25.65292525,14.2
200,0,25.24156382,14.1
200,0,24.84308634,14
200,0,24.4603818,13.925
200,0,24.0921509,13.85
200,0,23.73690136,13.775
200,0,23.39363389,13.7
200,0,23.06093196,13.6
200,0,22.73830112,13.5
200,0,22.42588292,13.4
200,0,22.12338539,13.3
200,0,21.83217705,13.25
200,0,21.54814672,13.2
200,0,21.27671282,13.15
200,0,21.01792337,13.1
200,0,20.77057411,13.075
200,0,20.53278374,13.05
200,0,20.30332331,13.025
200,0,20.08172342,13
200,0,19.86609759,12.95
200,0,19.65599874,12.9
200,0,19.45174736,12.85
200,0,19.25352522,12.8
200,0,19.06469943,12.8
200,0,18.88549507,12.8
200,0,18.7143602,12.8
200,0,18.54999926,12.8
200,0,18.39190848,12.8
200,0,18.23994761,12.8
200,0,18.09398139,12.8
200,0,17.95379642,12.8
200,0,17.81911947,12.8
200,0,17.68973033,12.8
200,0,17.56549213,12.8
200,0,17.44637131,12.8
200,0,17.33142058,12.8
200,0,17.22022335,12.8
200,0,17.11284656,12.8
200,0,17.00944015,12.8
200,52.92404237,16.9188438,12.8
200,72.14886585,16.84415627,12.8
200,100.2934241,16.78444357,12.8
200,128.6245109,16.73808066,12.8
200,157.1504331,16.70487399,12.8
200,185.9201383,16.68555467,12.8
200,312.2249921,16.69693724,12.8
200,427.7948808,16.75676495,12.8
200,541.0815589,16.88956846,13.075
200,652.6348687,17.09475809,13.35
200,675.4740677,17.34268753,13.625
200,696.6444215,17.60479261,13.9
200,716.3371441,17.86924352,14.175
200,745.5765832,18.13723821,14.45
200,853.4610972,18.4287828,14.725
200,985.598033,18.63622863,15
200,1115.557329,19.12662363,15.275
200,1257.092657,19.60376857,15.55
